Formulation_ID,group_key,group_primary_cas,group_primary_name,group_key_src,group_primary_from_same_row,group_primary_ing_idx,group_primary_cas_ing_idx,group_primary_name_ing_idx
MIX608,141517-21-7,141517-21-7,Trifloxystrobin,cas,True,1.0,1.0,1.0
MIX609,7287-19-6,7287-19-6,Prometryn,cas,True,2.0,2.0,2.0
MIX61,125116-23-6,125116-23-6,Metconazole,cas,True,1.0,1.0,1.0
MIX610,210631-68-8,210631-68-8,Inert Ingredients,cas,False,1.0,1.0,0.0
MIX611,122454-29-9,122454-29-9,Tralopyril,cas,True,3.0,3.0,3.0
MIX612,1317-39-1,1317-39-1,Cuprous oxide,cas,True,1.0,1.0,1.0
MIX613,55406-53-6,55406-53-6,3-Iodo-2-propynylbutylcarbamate,cas,True,1.0,1.0,1.0
MIX614,116255-48-2,116255-48-2,Bromuconazole,cas,True,0.0,0.0,0.0
MIX615,131341-86-1,131341-86-1,Fludioxonil,cas,True,1.0,1.0,1.0
MIX616,131341-86-1,131341-86-1,Fludioxonil,cas,True,1.0,1.0,1.0
MIX617,154749-55-0,154749-55-0,5-Hydroxy-Tepraloxydim (대사체 자체; 조성/매질 정보 없음),cas,True,0.0,0.0,0.0
MIX618,71751-41-2,71751-41-2,Abamectin (Avermectin B1a/B1b mixture) - 요청된 Avermectin A1a와 불일치,cas,True,1.0,1.0,1.0
MIX619,65195-52-0,65195-52-0,Avermectin A1b,cas,True,1.0,1.0,1.0
MIX62,2893-78-9,2893-78-9,Sodium Dichloro-S-Triazinetrione (Troclosene sodium 계열),cas,True,0.0,0.0,0.0
MIX620,65195-53-1,65195-53-1,Other ingredients (NE - not established),cas,True,1.0,1.0,1.0
