sheet,column,role,dtype,n_notna,fill_pct,in_X,sds_coderived,feature_role,exclude_by_default
formulation,t11_acute_oral_ord,feature,float64,618,36.9,True,True,label_coderived,True
formulation,t11_ld50_dermal,feature,float64,531,31.7,True,True,label_coderived,True
formulation,t11_ld50_dermal_log,feature,float64,531,31.7,True,True,label_coderived,True
formulation,t11_ld50_dermal_censored,feature,float64,531,31.7,True,True,label_coderived,True
formulation,t11_ld50_dermal_n,feature,float64,1094,65.31,True,True,label_coderived,True
formulation,t11_ld50_dermal_multi,feature,float64,1094,65.31,True,True,label_coderived,True
formulation,t11_ld50_dermal_unparsed,feature,float64,1094,65.31,True,True,label_coderived,True
formulation,t11_acute_dermal_ord,feature,float64,342,20.42,True,True,label_coderived,True
formulation,t11_lc50_inhal,feature,float64,392,23.4,True,True,label_coderived,True
formulation,t11_lc50_inhal_log,feature,float64,392,23.4,True,True,label_coderived,True
formulation,t11_lc50_inhal_censored,feature,float64,392,23.4,True,True,label_coderived,True
formulation,t11_lc50_inhal_n,feature,float64,1094,65.31,True,True,label_coderived,True
formulation,t11_lc50_inhal_multi,feature,float64,1094,65.31,True,True,label_coderived,True
formulation,t11_lc50_inhal_unparsed,feature,float64,1094,65.31,True,True,label_coderived,True
formulation,t11_acute_inhal_ord,feature,float64,198,11.82,True,True,label_coderived,True
formulation,t11_carc_ord,feature,float64,229,13.67,True,True,label_coderived,True
formulation,t11_muta_ord,feature,float64,151,9.01,True,True,label_coderived,True
formulation,t11_repr_ord,feature,float64,161,9.61,True,True,label_coderived,True
formulation,t11_stot_se_ord,feature,float64,180,10.75,True,True,label_coderived,True
formulation,t11_stot_re_ord,feature,float64,170,10.15,True,True,label_coderived,True
formulation,t11_aspir_ord,feature,float64,127,7.58,True,True,label_coderived,True
formulation,t11_n_pictograms,label_source,float64,483,28.84,False,False,label_source,False
formulation,t11_pic_corrosion,label_source,float64,662,39.52,False,False,label_source,False
formulation,t11_pic_exclam,label_source,float64,662,39.52,False,False,label_source,False
formulation,t11_pic_health,label_source,float64,662,39.52,False,False,label_source,False
formulation,t11_resolution,provenance,str,1672,99.82,False,False,provenance,False
formulation,t11_confidence,provenance,str,1672,99.82,False,False,provenance,False
formulation,f_n_ing,feature,int64,1675,100.0,True,False,ambiguous,True
formulation,f_n_pct_known,feature,int64,1675,100.0,True,False,bookkeeping,True
formulation,f_pct_sum_known,feature,float64,1394,83.22,True,False,ambiguous,True
formulation,f_pct_coverage,feature,float64,1675,100.0,True,False,ambiguous,True
formulation,f_n_smiles,feature,int64,1675,100.0,True,False,bookkeeping,True
formulation,f_smiles_coverage,feature,float64,1675,100.0,True,False,ambiguous,True
formulation,f_pct_with_structure,feature,float64,1394,83.22,True,False,ambiguous,True
formulation,f_shannon,feature,float64,1394,83.22,True,False,chemistry,False
formulation,f_simpson,feature,float64,1394,83.22,True,False,chemistry,False
formulation,f_max_pct,feature,float64,1394,83.22,True,False,chemistry,False
formulation,f_MolWt_mean,feature,float64,1450,86.57,True,False,chemistry,False
formulation,f_MolWt_max,feature,float64,1450,86.57,True,False,chemistry,False
formulation,f_MolWt_min,feature,float64,1450,86.57,True,False,chemistry,False
formulation,f_MolWt_range,feature,float64,1450,86.57,True,False,chemistry,False
formulation,f_MolWt_std,feature,float64,1450,86.57,True,False,chemistry,False
formulation,f_MolWt_wmean,feature,float64,1256,74.99,True,False,chemistry,False
formulation,f_MolLogP_mean,feature,float64,1450,86.57,True,False,chemistry,False
formulation,f_MolLogP_max,feature,float64,1450,86.57,True,False,chemistry,False
formulation,f_MolLogP_min,feature,float64,1450,86.57,True,False,chemistry,False
formulation,f_MolLogP_range,feature,float64,1450,86.57,True,False,chemistry,False
formulation,f_MolLogP_std,feature,float64,1450,86.57,True,False,chemistry,False
formulation,f_MolLogP_wmean,feature,float64,1256,74.99,True,False,chemistry,False
formulation,f_TPSA_mean,feature,float64,1450,86.57,True,False,chemistry,False
formulation,f_TPSA_max,feature,float64,1450,86.57,True,False,chemistry,False
formulation,f_TPSA_min,feature,float64,1450,86.57,True,False,chemistry,False
